"ea_id","mkt","dist_km","X","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
41030020,"Kiboga",128.039493015735,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2150,2000,1500,1667,1500,1900,1632,1467,1425,1450,1609,1700,2000,2000,1500,1500,1500,1642,1408,1400,1400,1650,1800,2000,1916.7,1800,2033.5,2200,2300,2084,1517,1300,1517,2000,2292,2450,2525,1833,1710,1925,2000,1863,1812.5,1800,2000,2400,2500,4000,4333,2000,2100,2325,2500,2500,2500,2383,2567,2750,3000,2955,2967,2517,2600,2733,2925,2500,2522,2911
41030023,"Mbarara",27.5484445661215,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2100,2000,1950,2055,2000,1642,1515,1600,1718,1825,1934,2467,2859,2200,2158,2100,2000,1875,1867,2000,1900,1950,2000,2091.75,2276.8,2000,2013.4,2250.25,2533.5,2693,2234,1933,1822,2000,1950,2040,1963,1917,1840,1850,2425,1800,2000,1525,1900,1750,2375,2750,2950,2750,2325,2050,2750,3500,3350,2800,2267,2100,2425,2500,2800,2725,2275,2500,2600,2500,2600,2700
41030035,"Mbarara",43.4021179477184,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2100,2000,1950,2055,2000,1642,1515,1600,1718,1825,1934,2467,2859,2200,2158,2100,2000,1875,1867,2000,1900,1950,2000,2091.75,2276.8,2000,2013.4,2250.25,2533.5,2693,2234,1933,1822,2000,1950,2040,1963,1917,1840,1850,2425,1800,2000,1525,1900,1750,2375,2750,2950,2750,2325,2050,2750,3500,3350,2800,2267,2100,2425,2500,2800,2725,2275,2500,2600,2500,2600,2700
10430006,"Owino",34.8729392348416,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600,2625,1700,1438,1529,1500,1487,1510,1467,1411,1650,1746,2650,2775,2400,1650,1689,2067,1815,1492,1617,1775,1733,2350,2408.5,2410.5,2350,1893.4,2300,2450,1975,1517,1617,2000,2000,2292,2290,2525,1833,1710,1925,2000,1863,1812.5,1800,2000,2400,2500,4000,4333,2000,2100,2325,2500,2500,2500,2383,2567,2750,3000,2955,2967,2517,2600,2733,2925,2500,2522,2911
10730012,"Jinja",46.0150007950683,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2150,2000,1800,1759,1500,1890,1674,1367,1442,1500,1575,2075,2583,2400,2167,1592,1775,1733,1744,1784,2000,2166,2220,2291.8,2264.5,2220,1706.6,1637.5,2400,2523,2150,1867,2000,2150,2150,2030,2375,2433,1870,1650,1600,1575,1600,1525,1500,1650,1800,2300,2600,2500,1575,1750,2000,2000,2000,1875,2000,2100,2100,2500,2375,2500,2275,1950,2100,2133,2000,2100
11030005,"Mbarara",100.030703166041,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2100,2000,1950,2055,2000,1642,1515,1600,1718,1825,1934,2467,2859,2200,2158,2100,2000,1875,1867,2000,1900,1950,2000,2091.75,2276.8,2000,2013.4,2250.25,2533.5,2693,2234,1933,1822,2000,1950,2040,1963,1917,1840,1850,2425,1800,2000,1525,1900,1750,2375,2750,2950,2750,2325,2050,2750,3500,3350,2800,2267,2100,2425,2500,2800,2725,2275,2500,2600,2500,2600,2700
30130003,"Gulu",79.5760189423664,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
30130003,"Gulu",81.7824429353644,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
30130003,"Gulu",67.4752575172103,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
20130004,"Iganga",28.8385718052926,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2431.25,2250,1775,1833,1850,1569,1618,1700,1813,1834,1950,1992,2150,2217,1842,1700,1800,1780,1708,1750,1900,2100,2233.3,2300,2236.8,2233.3,1626.6,1991.75,2266.5,2293,1767,1767,1778,2050,2138,2240,2000,1817,1560,1612.5,1937.5,1788,1662.5,1600,2000,2400,2500,4000,3000,2650,2350,2450,2450,2225,2150,1867,2400,2625,2700,2550,2375,2275,2000,2200,2375,2375,2522,2225
20130004,"Iganga",36.1585779592257,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2431.25,2250,1775,1833,1850,1569,1618,1700,1813,1834,1950,1992,2150,2217,1842,1700,1800,1780,1708,1750,1900,2100,2233.3,2300,2236.8,2233.3,1626.6,1991.75,2266.5,2293,1767,1767,1778,2050,2138,2240,2000,1817,1560,1612.5,1937.5,1788,1662.5,1600,2000,2400,2500,4000,3000,2650,2350,2450,2450,2225,2150,1867,2400,2625,2700,2550,2375,2275,2000,2200,2375,2375,2522,2225
20130006,"Iganga",65.6508057817053,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2431.25,2250,1775,1833,1850,1569,1618,1700,1813,1834,1950,1992,2150,2217,1842,1700,1800,1780,1708,1750,1900,2100,2233.3,2300,2236.8,2233.3,1626.6,1991.75,2266.5,2293,1767,1767,1778,2050,2138,2240,2000,1817,1560,1612.5,1937.5,1788,1662.5,1600,2000,2400,2500,4000,3000,2650,2350,2450,2450,2225,2150,1867,2400,2625,2700,2550,2375,2275,2000,2200,2375,2375,2522,2225
20430012,"Iganga",44.411763790062,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2431.25,2250,1775,1833,1850,1569,1618,1700,1813,1834,1950,1992,2150,2217,1842,1700,1800,1780,1708,1750,1900,2100,2233.3,2300,2236.8,2233.3,1626.6,1991.75,2266.5,2293,1767,1767,1778,2050,2138,2240,2000,1817,1560,1612.5,1937.5,1788,1662.5,1600,2000,2400,2500,4000,3000,2650,2350,2450,2450,2225,2150,1867,2400,2625,2700,2550,2375,2275,2000,2200,2375,2375,2522,2225
20830005,"Iganga",92.9983061317536,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2431.25,2250,1775,1833,1850,1569,1618,1700,1813,1834,1950,1992,2150,2217,1842,1700,1800,1780,1708,1750,1900,2100,2233.3,2300,2236.8,2233.3,1626.6,1991.75,2266.5,2293,1767,1767,1778,2050,2138,2240,2000,1817,1560,1612.5,1937.5,1788,1662.5,1600,2000,2400,2500,4000,3000,2650,2350,2450,2450,2225,2150,1867,2400,2625,2700,2550,2375,2275,2000,2200,2375,2375,2522,2225
30210002,"Lira",24.161821581005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30210002,"Lira",50.3687483746227,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30210002,"Lira",42.6619345394468,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
21030006,"Kapchorwa",12.2150143354984,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1800,2000,800,1890,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,1800,1800,1800,1666.667,1800,1800,1800,1500,1500,1844,2000,2000,2000,2000,2000,2000,1687.5,1712.5,1563,2000,1525,1500,1650,1800,2300,2600,2500,1575,1750,2000,2000,2000,1875,2000,2100,2100,2500,2375,2500,2275,1950,2100,2133,2000,2100
21230011,"Owino",2.38498557226329,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600,2625,1700,1438,1529,1500,1487,1510,1467,1411,1650,1746,2650,2775,2400,1650,1689,2067,1815,1492,1617,1775,1733,2350,2408.5,2410.5,2350,1893.4,2300,2450,1975,1517,1617,2000,2000,2292,2290,2525,1833,1710,1925,2000,1863,1812.5,1800,2000,2400,2500,4000,4333,2000,2100,2325,2500,2500,2500,2383,2567,2750,3000,2955,2967,2517,2600,2733,2925,2500,2522,2911
20930037,"Kapchorwa",44.8407240838256,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1800,2000,800,1890,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,1800,1800,1800,1666.667,1800,1800,1800,1500,1500,1844,2000,2000,2000,2000,2000,2000,1687.5,1712.5,1563,2000,1525,1500,1650,1800,2300,2600,2500,1575,1750,2000,2000,2000,1875,2000,2100,2100,2500,2375,2500,2275,1950,2100,2133,2000,2100
30230003,"Lira",26.617184534425,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230003,"Lira",35.4009529886397,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230003,"Lira",47.6697729604504,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230005,"Lira",20.5199514555261,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230005,"Lira",40.0736298541319,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230005,"Lira",3.06939050024361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230005,"Lira",3.5739859886196,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230005,"Owino",7.76048253618562,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600,2625,1700,1438,1529,1500,1487,1510,1467,1411,1650,1746,2650,2775,2400,1650,1689,2067,1815,1492,1617,1775,1733,2350,2408.5,2410.5,2350,1893.4,2300,2450,1975,1517,1617,2000,2000,2292,2290,2525,1833,1710,1925,2000,1863,1812.5,1800,2000,2400,2500,4000,4333,2000,2100,2325,2500,2500,2500,2383,2567,2750,3000,2955,2967,2517,2600,2733,2925,2500,2522,2911
30230010,"Lira",29.4760297001173,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230013,"Lira",67.3061226398541,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230013,"Lira",31.3916198772788,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230013,"Lira",20.5134454872588,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230013,"Lira",48.3816276686696,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230013,"Lira",20.4624960411091,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230016,"Lira",43.1267459490972,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230018,"Lira",24.3880165381661,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230035,"Lira",32.2604168608581,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230035,"Lira",69.4438710260544,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230035,"Lira",98.1403950196367,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30230013,"Lira",56.333995868392,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30310002,"Gulu",156.559147822043,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
30410007,"Gulu",27.354898437469,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
30510001,"Gulu",52.8809660605691,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
30710005,"Lira",2.16931629709673,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30710005,"Lira",32.5979235447481,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.333,1833.333,2000,1500,1850,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,2000,2161.8,2000,1986.6,2283.25,2483.5,1813,1500,1500,1844,2000,2000,2000,2000,1750,1680,1687.5,1712.5,1563,1550,1525,1900,2100,2000,2800,2850,2267,2000,2050,2250,2500,2500,2533,2600,2575,2100,2500,2375,2500,2275,2367,2500,2133,2250,2375
30710005,"Gulu",45.7695517033274,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
